short_name,lon,name,eightd_has_key_dispenser,capacity,station_type,lat,electric_bike_surcharge_waiver,has_kiosk,eightd_station_services,externalId,stationId,legacyId,region_code,rack_model,address,dockless_bikes_parking_zone_capacity,client_station_id
13288,-87.677855,Damen Ave & Charleston St,false,11,classic,41.920082,false,true,[],a3aa5ed1-a135-11e9-9cda-0a87ae2ba916,310,310,undefined,undefined,undefined,undefined,undefined




























TA1309000055,-87.645143,Emerald Ave & 31st St,false,11,classic,41.838198,false,true,[],a3aaf7bc-a135-11e9-9cda-0a87ae2ba916,339,339,undefined,undefined,undefined,undefined,undefined












KA1503000030,-87.5771428255,Jeffery Blvd & 67th St,false,11,classic,41.77351755125,false,true,[],a3ac35ed-a135-11e9-9cda-0a87ae2ba916,352,352,undefined,undefined,undefined,undefined,undefined



KA1503000045,-87.5864608775,Stony Island Ave & 71st St,false,11,classic,41.7664929373,false,true,[],a3ac4a7c-a135-11e9-9cda-0a87ae2ba916,356,356,undefined,undefined,undefined,undefined,undefined



KA1503000040,-87.6574349533,Loomis St & Archer Ave,false,11,classic,41.84163253965,false,true,[],a3ac7978-a135-11e9-9cda-0a87ae2ba916,366,366,undefined,undefined,undefined,undefined,undefined


KA1503000066,-87.6702983089,Wood St & 35th St,false,11,classic,41.83010465416,false,true,[],a3ac88db-a135-11e9-9cda-0a87ae2ba916,369,369,undefined,undefined,undefined,undefined,undefined

KA1504000114,-87.7061278837,Kedzie Ave & Chicago Ave,false,11,classic,41.89546530305,false,true,[],a3ac9834-a135-11e9-9cda-0a87ae2ba916,373,373,undefined,undefined,undefined,undefined,undefined

KA1504000113,-87.70260751247406,Sacramento Blvd & Franklin Blvd,false,11,classic,41.89046879243862,false,true,[],a3aca268-a135-11e9-9cda-0a87ae2ba916,375,375,undefined,undefined,undefined,undefined,undefined


15666,-87.6962981368,California Ave & Lake St,false,11,classic,41.88445395657,false,true,[],a3acb1de-a135-11e9-9cda-0a87ae2ba916,378,378,undefined,undefined,undefined,undefined,undefined



KA1503000010,-87.645213904,Halsted St & 51st St,false,11,classic,41.80183164049,false,true,[],a3acc649-a135-11e9-9cda-0a87ae2ba916,384,384,undefined,undefined,undefined,undefined,undefined
KA1503000013,-87.633124,Princeton Ave & Garfield Blvd,false,11,classic,41.794982,false,true,[],a3accb60-a135-11e9-9cda-0a87ae2ba916,385,385,undefined,undefined,undefined,undefined,undefined
KA1503000011,-87.6449900565,Halsted St & 56th St,false,11,classic,41.79292964599,false,true,[],a3acd078-a135-11e9-9cda-0a87ae2ba916,386,386,undefined,undefined,undefined,undefined,undefined
KA1503000055,-87.6446208145,Halsted & 63rd - Kennedy-King Vaccination Site,false,11,classic,41.77938114228,false,true,[],a3acd5b1-a135-11e9-9cda-0a87ae2ba916,388,388,undefined,undefined,undefined,undefined,undefined
KA1503000025,-87.6297463052,Wentworth Ave & 63rd St,false,11,classic,41.78007963264,false,true,[],a3acdae2-a135-11e9-9cda-0a87ae2ba916,390,390,undefined,undefined,undefined,undefined,undefined
15597,-87.6446135779,Halsted St & 69th St,false,11,classic,41.76906172032,false,true,[],a3acdff9-a135-11e9-9cda-0a87ae2ba916,391,391,undefined,undefined,undefined,undefined,undefined
KA1503000047,-87.6281959291,Perry Ave & 69th St,false,11,classic,41.76929308995,false,true,[],a3ace51b-a135-11e9-9cda-0a87ae2ba916,392,392,undefined,undefined,undefined,undefined,undefined
15599,-87.616917925,Calumet Ave & 71st St,false,11,classic,41.76550800581,false,true,[],a3acea44-a135-11e9-9cda-0a87ae2ba916,393,393,undefined,undefined,undefined,undefined,undefined

KA1503000028,-87.5758393587,Jeffery Blvd & 76th St,false,11,classic,41.75712006802,false,true,[],a3acf4eb-a135-11e9-9cda-0a87ae2ba916,395,395,undefined,undefined,undefined,undefined,undefined
KA1503000024,-87.56644,Yates Blvd & 75th St,false,11,classic,41.758768,false,true,[],a3acfa38-a135-11e9-9cda-0a87ae2ba916,396,396,undefined,undefined,undefined,undefined,undefined

KA1503000020,-87.55927465,South Shore Dr & 74th St,false,11,classic,41.76218896038,false,true,[],a3ad09b2-a135-11e9-9cda-0a87ae2ba916,399,399,undefined,undefined,undefined,undefined,undefined
KA1503000003,-87.604959713,Cottage Grove Ave & 71st St,false,11,classic,41.76571903697,false,true,[],a3ad0ecb-a135-11e9-9cda-0a87ae2ba916,400,400,undefined,undefined,undefined,undefined,undefined
15443,-87.635491,Shields Ave & 28th Pl,false,11,classic,41.842733,false,true,[],a3ad13e4-a135-11e9-9cda-0a87ae2ba916,401,401,undefined,undefined,undefined,undefined,undefined




15449,-87.6265680185,State St & Pershing Rd,false,11,classic,41.82301523798,false,true,[],a3ad2d57-a135-11e9-9cda-0a87ae2ba916,407,407,undefined,undefined,undefined,undefined,undefined
KA1503000032,-87.643278,Union Ave & Root St,false,11,classic,41.819102,false,true,[],a3ad327e-a135-11e9-9cda-0a87ae2ba916,408,408,undefined,undefined,undefined,undefined,undefined
KA1503000001,-87.6348193497,Shields Ave & 43rd St,false,11,classic,41.81620767856,false,true,[],a3ad37c2-a135-11e9-9cda-0a87ae2ba916,409,409,undefined,undefined,undefined,undefined,undefined

KA1503000051,-87.6456165545,Halsted St & 47th Pl,false,11,classic,41.80813391481,false,true,[],a3ad42c3-a135-11e9-9cda-0a87ae2ba916,411,411,undefined,undefined,undefined,undefined,undefined
KA1503000009,-87.633449288,Princeton Ave & 47th St,false,11,classic,41.80931770924,false,true,[],a3ad47f8-a135-11e9-9cda-0a87ae2ba916,412,412,undefined,undefined,undefined,undefined,undefined


15470,-87.6180535802,Calumet Ave & 51st St,false,11,classic,41.80229465088,false,true,[],a3ad5764-a135-11e9-9cda-0a87ae2ba916,415,415,undefined,undefined,undefined,undefined,undefined


KA1503000052,-87.6009581145,Ellis Ave & 53rd St,false,11,classic,41.79933626261,false,true,[],a3ad66e6-a135-11e9-9cda-0a87ae2ba916,418,418,undefined,undefined,undefined,undefined,undefined


KA1503000073,-87.6158532619,MLK Jr Dr & 56th St,false,11,classic,41.79342945658,false,true,[],a3ad7636-a135-11e9-9cda-0a87ae2ba916,421,421,undefined,undefined,undefined,undefined,undefined
KA1503000075,-87.6078521774,DuSable Museum,false,11,classic,41.79156801058,false,true,[],a3ad7b51-a135-11e9-9cda-0a87ae2ba916,422,422,undefined,undefined,undefined,undefined,undefined





